ID,NUMERO VICTIMAS,FECHA,DIA DE LA SEMANA,HORA,FRANJA HORARIA,TIPO DE CALLE,DIRECCION,TIPO DE ZONA,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,MES,DÍA
2016-0001,1,2016-01-01,Friday,04:00:00,4,AVENIDA,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",ESQUINA,8,MOTO-AUTO,MOTO,AUTO,2016,1,1
2016-0002,1,2016-01-02,Saturday,01:15:00,1,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",AUTOPISTA,9,AUTO-PASAJEROS,AUTO,PASAJEROS,2016,1,2
2016-0003,1,2016-01-03,Sunday,07:00:00,7,AVENIDA,ENTRE RIOS AV. 2034,CUADRA,1,MOTO-AUTO,MOTO,AUTO,2016,1,3
2016-0004,1,2016-01-10,Sunday,00:00:00,0,AVENIDA,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",ESQUINA,8,MOTO-SD,MOTO,,2016,1,10
2016-0005,1,2016-01-21,Thursday,05:20:00,5,AVENIDA,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",ESQUINA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,1,21
2016-0008,1,2016-01-24,Sunday,18:30:00,18,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,ESQUINA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,1,24
2016-0009,1,2016-01-24,Sunday,19:10:00,19,CALLE,"NOGOYA y GONZALEZ, JOAQUIN V.",ESQUINA,11,MOTO-AUTO,MOTO,AUTO,2016,1,24
2016-0010,1,2016-01-29,Friday,15:20:00,15,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",AUTOPISTA,9,MOTO-AUTO,MOTO,AUTO,2016,1,29
2016-0012,1,2016-02-08,Monday,01:20:00,1,AVENIDA,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",ESQUINA,1,MOTO-CARGAS,MOTO,CARGAS,2016,2,8
2016-0013,1,2016-02-10,Wednesday,11:30:00,11,AVENIDA,ENTRE RIOS AV. 1366,CUADRA,1,PEATON-AUTO,PEATON,AUTO,2016,2,10
2016-0015,1,2016-02-14,Sunday,05:14:00,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y VERA",ESQUINA,15,PEATON-AUTO,PEATON,AUTO,2016,2,14
2016-0016,1,2016-02-14,Sunday,22:00:00,22,AVENIDA,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",ESQUINA,4,MOTO-AUTO,MOTO,AUTO,2016,2,14
2016-0017,1,2016-02-15,Monday,16:54:00,16,AVENIDA,"ACOSTA, MARIANO y JANER, ANA MARIA",ESQUINA,8,PEATON-MOTO,PEATON,MOTO,2016,2,15
2016-0019,1,2016-02-17,Wednesday,09:30:00,9,CALLE,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",ESQUINA,9,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,2,17
2016-0020,1,2016-02-17,Wednesday,16:00:00,16,CALLE,SUIPACHA 156,CUADRA,1,PEATON-AUTO,PEATON,AUTO,2016,2,17
2016-0021,1,2016-02-17,Wednesday,23:35:00,23,AVENIDA,DIRECTORIO AV. y CURAPALIGUE,ESQUINA,7,AUTO-AUTO,AUTO,AUTO,2016,2,17
2016-0022,1,2016-02-21,Sunday,06:00:00,6,AVENIDA,"9 DE JULIO AV. y ALSINA, ADOLFO",ESQUINA,1,MOTO-AUTO,MOTO,AUTO,2016,2,21
2016-0025,1,2016-02-28,Sunday,04:50:00,4,GRAL PAZ,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",AUTOPISTA,8,AUTO-AUTO,AUTO,AUTO,2016,2,28
2016-0026,1,2016-02-28,Sunday,07:30:00,7,CALLE,HOLMBERG y VEDIA,ESQUINA,12,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2016,2,28
